url_club,club_league2021,url_club_stadium,club_stadium_coord,club_stadium_lat,club_stadium_lbg
/wiki/Bohemians_1905,Czech First League,/wiki/%C4%8Eol%C3%AD%C4%8Dek,50°04′01.17″N 14°27′15.14″E,50.06699166666667,14.454205555555555
/wiki/Lokomotiva_Ko%C5%A1ice,5. liga,/wiki/Stadium_Dru%C5%BEstevn%C3%A1_pri_Horn%C3%A1de,48°48′00″N 21°14′46″E,48.8,21.246111111111112
/wiki/FC_Ko%C5%A1ice,2. liga,/wiki/Lokomot%C3%ADva_Stadium,48°44′27.01″N 21°14′40.19″E,48.740836111111115,21.244497222222222
/wiki/Slavia_Praha,Czech First League,/wiki/Sinobo_Stadium,50°04′03″N 14°28′18″E,50.0675,14.471666666666668
/wiki/Sklo_Union_Teplice,Czech First League,/wiki/Na_St%C3%ADnadlech,50°38′24.27″N 13°49′04.57″E,50.640075,13.817936111111111
/wiki/AFC_Ajax,Eredivisie,/wiki/Johan_Cruyff_Arena,52°18′51″N 4°56′31″E,52.314166666666665,4.941944444444444
/wiki/Feyenoord,Eredivisie,/wiki/De_Kuip,51°53′38.02″N 4°31′23.71″E,51.89389444444444,4.523252777777778
/wiki/PSV_Eindhoven,Eredivisie,/wiki/Philips_Stadion,51°26′30.41″N 5°28′2.79″E,51.44178055555555,5.467441666666667
/wiki/NEC_Nijmegen,Eerste Divisie,/wiki/Stadion_de_Goffert,51°49′21″N 5°50′12″E,51.822500000000005,5.836666666666666
/wiki/Go_Ahead_Eagles,Eerste Divisie,/wiki/De_Adelaarshorst,52°15′37″N 6°10′21″E,52.26027777777778,6.1725
/wiki/FC_Amsterdam,"Eredivisie, Eerste Divisie",/wiki/Olympic_Stadium_(Amsterdam),52°20′36.30″N 4°51′15.09″E,52.34341666666667,4.854191666666666
/wiki/AZ_(football_club),Eredivisie,/wiki/AFAS_Stadion,52°36′46″N 4°44′32″E,52.61277777777778,4.742222222222222
/wiki/Sparta_Rotterdam,Eredivisie,/wiki/Sparta_Stadion_Het_Kasteel,51°55′10″N 4°26′01″E,51.919444444444444,4.433611111111111
/wiki/Hertha_BSC,Bundesliga,/wiki/Olympiastadion_(Berlin),52°30′53″N 13°14′22″E,52.514722222222225,13.239444444444443
/wiki/Hamburger_SV,2. Bundesliga,/wiki/Volksparkstadion,53°35′13.77″N 9°53′55.02″E,53.587158333333335,9.898616666666666
/wiki/R._Charleroi_S.C.,Belgian First Division A,/wiki/Stade_du_Pays_de_Charleroi,50°24′53″N 4°27′14″E,50.414722222222224,4.453888888888889
/wiki/HNK_Hajduk_Split,Prva HNL,/wiki/Stadion_Poljud,43°31′10″N 16°25′54″E,43.519444444444446,16.43166666666667
/wiki/Eintracht_Braunschweig,2. Bundesliga,/wiki/Eintracht-Stadion,52°17′24″N 10°31′18″E,52.29,10.521666666666668
/wiki/SC_Bastia,Ligue 2,/wiki/Stade_Armand_Cesari,42°39′5″N 9°26′34″E,42.65138888888889,9.442777777777778
/wiki/FC_Ban%C3%ADk_Ostrava,Czech First League,/wiki/M%C4%9Bstsk%C3%BD_stadion_(Ostrava),49°48′15.53″N 18°15′21.46″E,49.804313888888885,18.255961111111112
/wiki/AC_Sparta_Prague,Czech First League,/wiki/Stadion_Letn%C3%A1,50°5′59.29″N 14°24′57.28″E,50.09980277777778,14.415911111111111
/wiki/Panathinaikos_F.C.,Super League Greece,/wiki/Leoforos_Alexandras_Stadium,37°59′13.81″N 23°45′15.10″E,37.98716944444445,23.754194444444444
/wiki/Olympiacos_F.C.,Super League Greece,/wiki/Karaiskakis_Stadium,37°56′46.21″N 23°39′52.33″E,37.94616944444444,23.66453611111111
/wiki/PAOK_FC,Super League Greece,/wiki/Toumba_Stadium,40°36′49.82″N 22°58′20.72″E,40.61383888888889,22.97242222222222
/wiki/Aris_Thessaloniki_F.C.,Super League Greece,/wiki/Kleanthis_Vikelidis_Stadium,40°36′0.25″N 22°58′10.20″E,40.60006944444444,22.9695
/wiki/AEK_Athens_F.C.,Super League Greece,/wiki/Olympic_Stadium_(Athens),38°02′10″N 23°47′15″E,38.03611111111111,23.7875
/wiki/Iraklis_Thessaloniki_F.C.,Gamma Ethniki,/wiki/Kaftanzoglio_Stadium,40°37′31.79″N 22°58′1.21″E,40.62549722222222,22.967002777777775
/wiki/PAOK_F.C.,Super League Greece,/wiki/Toumba_Stadium,40°36′49.82″N 22°58′20.72″E,40.61383888888889,22.97242222222222
/wiki/Panionios_F.C.,Gamma Ethniki,/wiki/Nea_Smyrni_Stadium,37°56′34.92″N 23°42′33.21″E,37.94303333333333,23.709225
/wiki/OFI_Crete_F.C.,Super League Greece,/wiki/Theodoros_Vardinogiannis_Stadium,35°20′17″N 25°06′53″E,35.338055555555556,25.114722222222223
/wiki/AZ_Alkmaar,Eredivisie,/wiki/AFAS_Stadion,52°36′46″N 4°44′32″E,52.61277777777778,4.742222222222222
/wiki/Vancouver_Whitecaps_(NASL),NASL,/wiki/Empire_Stadium_(Vancouver),49°16′57.5″N 123°1′59.6″W,49.28263888888889,-123.03322222222222
/wiki/FC_Twente,Eredivisie,/wiki/De_Grolsch_Veste,52°14′12″N 6°50′15″E,52.236666666666665,6.8374999999999995
/wiki/Roda_JC_Kerkrade,Eerste Divisie,/wiki/Parkstad_Limburg_Stadion,50°51′25″N 6°00′21″E,50.856944444444444,6.005833333333333
/wiki/NAC_Breda,Eerste Divisie,/wiki/Rat_Verlegh_Stadion,51°35′41.6″N 4°45′01.1″E,51.59488888888889,4.750305555555555
/wiki/Ipswich_Town_F.C.,League One,/wiki/Portman_Road,52°3′18.22″N 1°8′41.39″E,52.05506111111111,1.1448305555555556
/wiki/FC_Utrecht,Eredivisie,/wiki/Stadion_Galgenwaard,52°04′42″N 5°08′45″E,52.07833333333333,5.145833333333334
/wiki/1._FC_Kaiserslautern,3. Liga,/wiki/Fritz-Walter-Stadion,49°26′05″N 7°46′36″E,49.43472222222222,7.776666666666666
/wiki/VfB_Stuttgart,Bundesliga,/wiki/Mercedes-Benz_Arena_(Stuttgart),48°47′32.17″N 9°13′55.31″E,48.79226944444444,9.232030555555555
/wiki/Fortuna_D%C3%BCsseldorf,2. Bundesliga,/wiki/Merkur_Spiel-Arena,51°15′42″N 6°43′59″E,51.26166666666666,6.733055555555556
/wiki/Borussia_Dortmund,Bundesliga,/wiki/Westfalenstadion,51°29′33.25″N 7°27′6.63″E,51.49256944444445,7.451841666666667
/wiki/Royal_Antwerp,Belgian First Division A,/wiki/Bosuilstadion,51°13′56.66″N 4°28′19.51″E,51.23240555555556,4.472086111111111
/wiki/K.S.V._Waregem,Belgian First DivisionBelgian Second DivisionBelgian Third Division,/wiki/Regenboogstadion,50°52′59″N 3°25′44″E,50.88305555555556,3.428888888888889
/wiki/Club_Brugge_KV,Belgian First Division A,/wiki/Jan_Breydel_Stadium,51°11′35.78″N 3°10′50.10″E,51.19327222222222,3.1805833333333333
/wiki/K._Beerschot_V.A.C.,NA,NA,NA,NA,NA
/wiki/K._Beringen_F.C.,NA,NA,NA,NA,NA
/wiki/Lierse_S.K.,Proximus League,/wiki/Herman_Vanderpoortenstadion,51°08′39″N 4°34′25″E,51.14416666666666,4.573611111111111
/wiki/K.S.K._Beveren,NA,/wiki/Freethiel_Stadion,51°12′51″N 4°14′38″E,51.21416666666667,4.243888888888889
/wiki/K.S.C._Lokeren_Oost-Vlaanderen,NA,/wiki/Daknamstadion,51°6′59″N 3°59′14″E,51.11638888888889,3.9872222222222224
/wiki/Crystal_Palace_F.C.,Premier League,/wiki/Selhurst_Park,51°23′54″N 0°5′8″W,51.39833333333333,-0.08555555555555555
/wiki/Southampton_F.C.,Premier League,/wiki/St_Mary%27s_Stadium,50°54′21″N 1°23′28″W,50.905833333333334,-1.3911111111111112
/wiki/Nottingham_Forest_F.C.,Championship,NA,NA,NA,NA
/wiki/Leeds_United_F.C.,Premier League,/wiki/Elland_Road,53°46′40″N 1°34′20″W,53.77777777777778,-1.5722222222222222
/wiki/Wolverhampton_Wanderers_F.C.,Premier League,/wiki/Molineux_Stadium,52°35′25″N 2°07′49″W,52.59027777777778,-2.1302777777777777
/wiki/A.S._Roma,Serie A,/wiki/Stadio_Olimpico,41°56′1.99″N 12°27′17.23″E,41.93388611111111,12.45478611111111
/wiki/Inter_Milan,Serie A,/wiki/San_Siro,45°28′41″N 9°07′26″E,45.47805555555556,9.123888888888889
/wiki/Real_Sociedad,La Liga,/wiki/Anoeta_Stadium,43°18′4.96″N 1°58′25.02″W,43.30137777777777,-1.9736166666666668
/wiki/Sporting_de_Gij%C3%B3n,Segunda División,/wiki/El_Molin%C3%B3n,43°32′10″N 5°38′14″W,43.53611111111111,-5.6372222222222215
/wiki/Real_Betis,La Liga,/wiki/Estadio_Benito_Villamar%C3%ADn,37°21′23″N 5°58′53″W,37.35638888888889,-5.981388888888889
/wiki/RCD_Espanyol,Segunda División,/wiki/RCDE_Stadium,41°20′52.3″N 2°4′32.4″E,41.347861111111115,2.0756666666666668
/wiki/K._Waterschei_S.V._Thor_Genk,NA,NA,NA,NA,NA
/wiki/K.A.A._Gent,Belgian First Division A,/wiki/Ghelamco_Arena,51°00′58″N 3°44′02″E,51.01611111111111,3.733888888888889
/wiki/R.F.C._Seraing,NA,NA,NA,NA,NA
/wiki/Vejle_Boldklub,Danish Superliga,/wiki/Vejle_Stadium,55°42′49.73″N 9°33′25.78″E,55.71381388888889,9.557161111111112
/wiki/K.S.C._Lokeren,NA,/wiki/Daknamstadion,51°6′59″N 3°59′14″E,51.11638888888889,3.9872222222222224
/wiki/SC_Pisa,Serie B,/wiki/Arena_Garibaldi_%E2%80%93_Stadio_Romeo_Anconetani,43°43′31″N 10°24′00″E,43.72527777777778,10.4
/wiki/S.S._Lazio,Serie A,/wiki/Stadio_Olimpico,41°56′1.99″N 12°27′17.23″E,41.93388611111111,12.45478611111111
/wiki/Aarhus_Gymnastikforening,Danish Superliga,/wiki/Aarhus_Stadium,56°07′55″N 10°11′48″E,56.13194444444444,10.196666666666667
/wiki/AJ_Auxerre,Ligue 2,/wiki/Stade_de_l%27Abb%C3%A9-Deschamps,47°47′12.31″N 3°35′19.19″E,47.78675277777778,3.588663888888889
/wiki/AS_Monaco_FC,Ligue 1,/wiki/Stade_Louis_II,43°43′39″N 7°24′56″E,43.7275,7.415555555555556
/wiki/Toulouse_FC,Ligue 2,/wiki/Stadium_de_Toulouse,43°34′59″N 1°26′3″E,43.58305555555556,1.4341666666666666
/wiki/FC_Nantes,Ligue 1,/wiki/Stade_de_la_Beaujoire,47°15′20″N 1°31′31″W,47.25555555555555,-1.5252777777777777
/wiki/FC_Girondins_de_Bordeaux,Ligue 1,/wiki/Matmut_Atlantique,44°53′50″N 0°33′42″W,44.89722222222222,-0.5616666666666668
/wiki/Paris_Saint-Germain_F.C.,Ligue 1,/wiki/Parc_des_Princes,48°50′29″N 2°15′11″E,48.84138888888889,2.2530555555555556
/wiki/FC_Mulhouse,National 3 Group M,/wiki/Stade_de_l%27Ill,47°44′17″N 7°19′16″E,47.738055555555555,7.321111111111111
/wiki/FC_Toulouse,Ligue 2,/wiki/Stadium_de_Toulouse,43°34′59″N 1°26′3″E,43.58305555555556,1.4341666666666666
/wiki/FC_Sochaux-Montb%C3%A9liard,Ligue 2,/wiki/Stade_Auguste_Bonal,47°30′44.70″N 6°48′40.32″E,47.51241666666667,6.8111999999999995
/wiki/FK_%C5%BDeljezni%C4%8Dar,Premier League BH,/wiki/Stadion_Grbavica,43°50′48″N 18°23′14″E,43.84666666666667,18.38722222222222
/wiki/NK_Olimpija_Ljubljana_(1911),NA,/wiki/Be%C5%BEigrad_Stadium,46°4′8.84″N 14°30′30.60″E,46.06912222222223,14.5085
/wiki/GNK_Dinamo_Zagreb,Prva HNL,/wiki/Stadion_Maksimir,45°49′7.89″N 16°1′5.08″E,45.81885833333334,16.018077777777776
/wiki/FK_Radni%C4%8Dki_Ni%C5%A1,Serbian SuperLiga,/wiki/Stadion_%C4%8Cair,43°18′55.90″N 21°54′30.72″E,43.315527777777774,21.90853333333333
/wiki/HNK_Cibalia,Druga HNL,/wiki/Stadion_HNK_Cibalia,45°17′01″N 18°47′51″E,45.28361111111111,18.797500000000003
/wiki/S.L._Benfica,Primeira Liga,/wiki/Est%C3%A1dio_da_Luz,38°45′10″N 9°11′05″W,38.75277777777778,-9.184722222222222
